11,ACEH
12,SUMATERA UTARA
16,SUMATERA SELATAN
13,SUMATERA BARAT
17,BENGKULU
14,RIAU
21,KEPULAUAN RIAU
15,JAMBI
18,LAMPUNG
19,KEPULAUAN BANGKA BELITUNG
61,KALIMANTAN BARAT
64,KALIMANTAN TIMUR
63,KALIMANTAN SELATAN
62,KALIMANTAN TENGAH
65,KALIMANTAN UTARA
36,BANTEN
31,DKI JAKARTA
32,JAWA BARAT
33,JAWA TENGAH
34,DIY
35,JAWA TIMUR
51,BALI
53,NUSA TENGGARA TIMUR
52,NUSA TENGGARA BARAT
75,GORONTALO
76,SULAWESI BARAT
72,SULAWESI TENGAH
71,SULAWESI UTARA
74,SULAWESI TENGGARA
73,SULAWESI SELATAN
82,MALUKU UTARA
81,MALUKU
92,PAPUA BARAT
91,PAPUA
94,PAPUA TENGAH
95,PAPUA PEGUNUNGAN
93,PAPUA SELATAN
96,PAPUA BARAT DAYA
